participant,presentationnum,verb,condition,item,targword,question,yesno,list,version,index,word,wordlabel,phonelength,duration,silence,durasil,begin,meanpit,maxpitch,maxPitTime,minpitch,minPitTime,firstpitch,secondpitch,thirdpitch,fourthpitch,meanIntensity,maxIntensity
A1A7KL0CEERE60,10,ItemDory,Agent,Poke,ISCOREYPOKINGDONNY,no,ListD,VersionC,nonrhyming,1,sp,sp,1,0.898,0,0.898,0.0124716553288,195.404,195.40,0.898,195.40,0.898,--undefined--,--undefined--,--undefined--,195.404,41.414,59.360
A1A7KL0CEERE60,10,ItemDory,Agent,Poke,ISCOREYPOKINGDONNY,no,ListD,VersionC,nonrhyming,1,NO,NO,2,0.479,0,0.479,0.910430839002,202.222,288.05,0.450,158.95,0.250,188.706,166.643,181.460,272.078,73.109,80.299
A1A7KL0CEERE60,10,ItemDory,Agent,Poke,ISCOREYPOKINGDONNY,no,ListD,VersionC,nonrhyming,1,sp,sp,1,0.349,0,0.349,1.38934240363,281.052,281.67,0,280.88,0.004,281.052,--undefined--,--undefined--,--undefined--,46.805,62.857
A1A7KL0CEERE60,10,ItemDory,Agent,Poke,ISCOREYPOKINGDONNY,no,ListD,VersionC,nonrhyming,1,DORY,DORY,4,0.698,0,0.698,1.73854875283,237.209,301.41,0.290,158.07,0.455,220.127,277.220,200.215,--undefined--,69.104,88.290
A1A7KL0CEERE60,10,ItemDory,Agent,Poke,ISCOREYPOKINGDONNY,no,ListD,VersionC,nonrhyming,1,sp,sp,1,0.100,0,0.100,2.43696145125,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,43.927,45.704
A1A7KL0CEERE60,10,ItemDory,Agent,Poke,ISCOREYPOKINGDONNY,no,ListD,VersionC,nonrhyming,1,IS,IS,2,0.259,0,0.259,2.53673469388,190.431,198.68,0.026,178.58,0.139,197.632,190.720,182.463,--undefined--,64.194,80.589
A1A7KL0CEERE60,10,ItemDory,Agent,Poke,ISCOREYPOKINGDONNY,no,ListD,VersionC,nonrhyming,1,POKING,POKING,5,0.629,0,0.629,2.79614512472,174.395,213.70,0.117,144.04,0.565,209.415,194.269,170.622,150.998,57.780,80.779
A1A7KL0CEERE60,10,ItemDory,Agent,Poke,ISCOREYPOKINGDONNY,no,ListD,VersionC,nonrhyming,1,DONNY,DONNY,4,0.419,0,0.419,3.42471655329,161.461,249.91,0.398,101.01,0.338,165.329,151.772,141.612,194.253,60.892,70.818
A1A7KL0CEERE60,10,ItemDory,Agent,Poke,ISCOREYPOKINGDONNY,no,ListD,VersionC,nonrhyming,1,sp,sp,0,1.028,0,1.028,3.84376417234,226.870,226.87,0,226.87,0,226.870,--undefined--,--undefined--,--undefined--,42.102,52.831
A1A7KL0CEERE60,12,ItemBonnie,YesControl,Kick,ISBONNIEKICKINGLAURIE,yes,ListD,VersionC,nonrhyming,1,sp,sp,1,0.678,0,0.678,0.0124716553288,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,40.930,42.852
A1A7KL0CEERE60,12,ItemBonnie,YesControl,Kick,ISBONNIEKICKINGLAURIE,yes,ListD,VersionC,nonrhyming,1,YES,YES,3,0.419,0,0.419,0.690929705215,242.568,298.04,0.043,177.49,0.203,292.757,222.997,184.656,183.485,67.902,80.638
A1A7KL0CEERE60,12,ItemBonnie,YesControl,Kick,ISBONNIEKICKINGLAURIE,yes,ListD,VersionC,nonrhyming,1,sp,sp,1,0.409,0,0.409,1.10997732426,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,45.407,55.684
A1A7KL0CEERE60,12,ItemBonnie,YesControl,Kick,ISBONNIEKICKINGLAURIE,yes,ListD,VersionC,nonrhyming,1,BONNIE,BONNIE,4,0.429,0,0.429,1.51904761905,211.720,254.26,0.406,187.24,0.129,209.820,190.321,204.030,242.178,71.052,80.828
A1A7KL0CEERE60,12,ItemBonnie,YesControl,Kick,ISBONNIEKICKINGLAURIE,yes,ListD,VersionC,nonrhyming,1,IS,IS,2,0.180,0,0.180,1.94807256236,257.958,275.41,0.077,229.73,0,243.039,268.418,262.812,--undefined--,68.939,75.527
A1A7KL0CEERE60,12,ItemBonnie,YesControl,Kick,ISBONNIEKICKINGLAURIE,yes,ListD,VersionC,nonrhyming,1,sp,sp,1,0.060,0,0.060,2.12766439909,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,52.395,59.063
A1A7KL0CEERE60,12,ItemBonnie,YesControl,Kick,ISBONNIEKICKINGLAURIE,yes,ListD,VersionC,nonrhyming,1,KICKING,KICKING,5,0.469,0,0.469,2.18752834467,240.215,285.82,0.221,207.80,0.202,223.964,228.297,248.845,251.217,67.098,79.989
A1A7KL0CEERE60,12,ItemBonnie,YesControl,Kick,ISBONNIEKICKINGLAURIE,yes,ListD,VersionC,nonrhyming,1,LAURIE,LAURIE,4,0.439,0,0.439,2.65646258503,208.974,262.53,0.104,144.70,0.342,256.855,236.527,169.965,154.509,68.970,79.280
A1A7KL0CEERE60,12,ItemBonnie,YesControl,Kick,ISBONNIEKICKINGLAURIE,yes,ListD,VersionC,nonrhyming,1,sp,sp,0,1.357,0,1.357,3.09546485261,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,42.517,47.427
A1A7KL0CEERE60,14,ItemSandy,Verb,Pull,ISSANDYPUSHINGTORI,no,ListD,VersionC,nonrhyming,1,sp,sp,1,0.808,0,0.808,0.0124716553288,195.490,195.49,0.808,195.49,0.808,--undefined--,--undefined--,--undefined--,195.490,41.756,57.095
A1A7KL0CEERE60,14,ItemSandy,Verb,Pull,ISSANDYPUSHINGTORI,no,ListD,VersionC,nonrhyming,1,NO,NO,2,0.569,0,0.569,0.820634920635,211.328,303.17,0.501,153.41,0.225,180.686,156.866,209.922,297.836,72.699,78.607
A1A7KL0CEERE60,14,ItemSandy,Verb,Pull,ISSANDYPUSHINGTORI,no,ListD,VersionC,nonrhyming,1,sp,sp,1,0.229,0,0.229,1.38934240363,293.832,293.83,0,293.83,0,293.832,--undefined--,--undefined--,--undefined--,44.562,50.619
A1A7KL0CEERE60,14,ItemSandy,Verb,Pull,ISSANDYPUSHINGTORI,no,ListD,VersionC,nonrhyming,1,SANDY,SANDY,5,0.609,0,0.609,1.61882086168,205.773,213.93,0.166,195.37,0.407,--undefined--,206.579,203.444,208.597,71.893,81.946
A1A7KL0CEERE60,14,ItemSandy,Verb,Pull,ISSANDYPUSHINGTORI,no,ListD,VersionC,nonrhyming,1,IS,IS,2,0.249,0,0.249,2.22743764172,204.089,208.22,0.107,194.52,0.007,202.282,206.396,203.271,206.962,71.265,85.742
A1A7KL0CEERE60,14,ItemSandy,Verb,Pull,ISSANDYPUSHINGTORI,no,ListD,VersionC,nonrhyming,1,sp,sp,1,0.070,0,0.070,2.4768707483,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,46.278,47.871
A1A7KL0CEERE60,14,ItemSandy,Verb,Pull,ISSANDYPUSHINGTORI,no,ListD,VersionC,nonrhyming,1,PULLING,PULLING,5,0.688,0,0.688,2.54671201814,198.303,318.86,0.038,143.00,0.510,301.113,248.847,164.613,149.315,65.018,82.616
A1A7KL0CEERE60,14,ItemSandy,Verb,Pull,ISSANDYPUSHINGTORI,no,ListD,VersionC,nonrhyming,1,sp,sp,1,0.110,0,0.110,3.23514739229,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,44.007,45.338
A1A7KL0CEERE60,14,ItemSandy,Verb,Pull,ISSANDYPUSHINGTORI,no,ListD,VersionC,nonrhyming,1,TORI,TORI,4,0.479,0,0.479,3.34489795918,167.624,205.46,0.364,128.05,0.342,191.303,165.703,136.892,198.080,61.169,73.151
A1A7KL0CEERE60,14,ItemSandy,Verb,Pull,ISSANDYPUSHINGTORI,no,ListD,VersionC,nonrhyming,1,sp,sp,0,0.998,0,0.998,3.82380952381,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,42.302,46.162
A1A7KL0CEERE60,15,ItemDory,Verb,Kick,ISDORYKICKINGDONNY,no,ListD,VersionC,nonrhyming,1,sp,sp,1,0.908,0,0.908,0.0124716553288,203.242,203.24,0.908,203.24,0.908,--undefined--,--undefined--,--undefined--,203.242,41.329,55.446
A1A7KL0CEERE60,15,ItemDory,Verb,Kick,ISDORYKICKINGDONNY,no,ListD,VersionC,nonrhyming,1,NO,NO,2,0.499,0,0.499,0.920408163265,219.525,304.76,0.454,160.40,0.219,193.031,168.386,218.463,298.219,72.045,78.036
A1A7KL0CEERE60,15,ItemDory,Verb,Kick,ISDORYKICKINGDONNY,no,ListD,VersionC,nonrhyming,1,sp,sp,1,0.319,0,0.319,1.41927437642,207.405,302.67,0.006,177.46,0.312,302.628,--undefined--,--undefined--,181.303,46.417,59.641
A1A7KL0CEERE60,15,ItemDory,Verb,Kick,ISDORYKICKINGDONNY,no,ListD,VersionC,nonrhyming,1,DORY,DORY,4,0.439,0,0.439,1.73854875283,207.436,217.66,0.352,181.51,0,201.606,207.314,209.384,211.442,78.233,85.845
A1A7KL0CEERE60,15,ItemDory,Verb,Kick,ISDORYKICKINGDONNY,no,ListD,VersionC,nonrhyming,1,IS,IS,2,0.160,0,0.160,2.17755102041,210.095,214.88,0.066,201.22,0.008,204.636,213.036,211.871,211.406,78.688,87.951
A1A7KL0CEERE60,15,ItemDory,Verb,Kick,ISDORYKICKINGDONNY,no,ListD,VersionC,nonrhyming,1,sp,sp,1,0.140,0,0.140,2.33718820862,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,49.142,62.093
A1A7KL0CEERE60,15,ItemDory,Verb,Kick,ISDORYKICKINGDONNY,no,ListD,VersionC,nonrhyming,1,POKING,POKING,5,0.748,0,0.748,2.4768707483,216.135,310.21,0.048,151.57,0.566,294.505,270.088,179.323,164.545,61.073,79.072
A1A7KL0CEERE60,15,ItemDory,Verb,Kick,ISDORYKICKINGDONNY,no,ListD,VersionC,nonrhyming,1,sp,sp,1,0.110,0,0.110,3.22517006803,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,42.411,43.727
A1A7KL0CEERE60,15,ItemDory,Verb,Kick,ISDORYKICKINGDONNY,no,ListD,VersionC,nonrhyming,1,DONNY,DONNY,4,0.419,0,0.419,3.33492063492,151.055,228.60,0.419,112.22,0.360,179.266,157.527,138.104,127.485,62.399,69.156
A1A7KL0CEERE60,15,ItemDory,Verb,Kick,ISDORYKICKINGDONNY,no,ListD,VersionC,nonrhyming,1,sp,sp,0,1.068,0,1.068,3.75396825397,228.604,228.60,0.0009,228.60,0.0009,228.604,--undefined--,--undefined--,--undefined--,41.626,53.480
A1A7KL0CEERE60,19,ItemBilly,Agent,Kiss,ISWILLYKISSINGANDY,no,ListD,VersionC,nonrhyming,1,sp,sp,1,0.968,0,0.968,0.0124716553288,231.100,231.10,0.968,231.10,0.968,--undefined--,--undefined--,--undefined--,231.100,41.671,53.381
A1A7KL0CEERE60,19,ItemBilly,Agent,Kiss,ISWILLYKISSINGANDY,no,ListD,VersionC,nonrhyming,1,NO,NO,2,0.559,0,0.559,0.980272108844,219.934,319.84,0.480,161.02,0.257,200.166,167.621,209.052,302.899,70.747,77.046
A1A7KL0CEERE60,19,ItemBilly,Agent,Kiss,ISWILLYKISSINGANDY,no,ListD,VersionC,nonrhyming,1,sp,sp,1,0.289,0,0.289,1.53900226757,205.984,315.98,0.004,183.21,0.277,315.023,--undefined--,213.436,190.909,51.416,70.116
A1A7KL0CEERE60,19,ItemBilly,Agent,Kiss,ISWILLYKISSINGANDY,no,ListD,VersionC,nonrhyming,1,BILLY,BILLY,4,0.549,0,0.549,1.8283446712,221.502,312.67,0.384,77.57,0.424,240.569,273.954,234.278,130.508,67.989,84.609
A1A7KL0CEERE60,19,ItemBilly,Agent,Kiss,ISWILLYKISSINGANDY,no,ListD,VersionC,nonrhyming,1,sp,sp,1,0.180,0,0.180,2.37709750567,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,44.680,47.235
A1A7KL0CEERE60,19,ItemBilly,Agent,Kiss,ISWILLYKISSINGANDY,no,ListD,VersionC,nonrhyming,1,IS,IS,2,0.289,0,0.289,2.5566893424,200.066,203.34,0.061,196.89,0.036,200.404,199.511,201.056,--undefined--,66.368,85.644
A1A7KL0CEERE60,19,ItemBilly,Agent,Kiss,ISWILLYKISSINGANDY,no,ListD,VersionC,nonrhyming,1,KISSING,KISSING,5,0.649,0,0.649,2.84603174603,190.566,223.63,0.095,146.59,0.447,214.523,206.856,180.273,174.736,61.875,84.059
A1A7KL0CEERE60,19,ItemBilly,Agent,Kiss,ISWILLYKISSINGANDY,no,ListD,VersionC,nonrhyming,1,ANDY,ANDY,4,0.309,0,0.309,3.49455782313,165.374,296.41,0.144,70.97,0.263,153.481,208.629,176.685,99.051,57.333,68.245
A1A7KL0CEERE60,19,ItemBilly,Agent,Kiss,ISWILLYKISSINGANDY,no,ListD,VersionC,nonrhyming,1,sp,sp,0,1.207,0,1.207,3.80385487528,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,41.249,45.262
A1A7KL0CEERE60,22,ItemBilly,Patient,Kiss,ISBILLYKISSINGLAURIE,no,ListD,VersionC,nonrhyming,1,sp,sp,1,0.649,0,0.649,0.0124716553288,189.514,189.51,0.649,189.51,0.649,--undefined--,--undefined--,--undefined--,189.514,41.978,67.308
A1A7KL0CEERE60,22,ItemBilly,Patient,Kiss,ISBILLYKISSINGLAURIE,no,ListD,VersionC,nonrhyming,1,NO,NO,2,0.359,0,0.359,0.660997732426,205.837,315.85,0.325,154.32,0.141,174.525,155.557,195.232,298.032,71.360,76.616
A1A7KL0CEERE60,22,ItemBilly,Patient,Kiss,ISBILLYKISSINGLAURIE,no,ListD,VersionC,nonrhyming,1,sp,sp,1,0.359,0,0.359,1.0201814059,293.497,302.66,0,287.72,0.012,293.497,--undefined--,--undefined--,--undefined--,45.231,54.779
A1A7KL0CEERE60,22,ItemBilly,Patient,Kiss,ISBILLYKISSINGLAURIE,no,ListD,VersionC,nonrhyming,1,BILLY,BILLY,4,0.439,0,0.439,1.37936507937,215.012,272.46,0.439,193.82,0.196,215.439,199.862,216.516,233.513,73.180,87.031
A1A7KL0CEERE60,22,ItemBilly,Patient,Kiss,ISBILLYKISSINGLAURIE,no,ListD,VersionC,nonrhyming,1,IS,IS,2,0.190,0,0.190,1.81836734694,223.815,282.53,0.0005,202.47,0.018,227.463,221.415,223.336,222.434,73.782,83.919
A1A7KL0CEERE60,22,ItemBilly,Patient,Kiss,ISBILLYKISSINGLAURIE,no,ListD,VersionC,nonrhyming,1,sp,sp,1,0.080,0,0.080,2.00793650794,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,54.539,59.964
A1A7KL0CEERE60,22,ItemBilly,Patient,Kiss,ISBILLYKISSINGLAURIE,no,ListD,VersionC,nonrhyming,1,KISSING,KISSING,5,0.649,0,0.649,2.08775510204,220.366,263.77,0.575,145.50,0.104,198.712,196.501,218.635,251.869,66.066,83.046
A1A7KL0CEERE60,22,ItemBilly,Patient,Kiss,ISBILLYKISSINGLAURIE,no,ListD,VersionC,nonrhyming,1,sp,sp,1,0.220,0,0.220,2.73628117914,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,43.687,49.107
A1A7KL0CEERE60,22,ItemBilly,Patient,Kiss,ISBILLYKISSINGLAURIE,no,ListD,VersionC,nonrhyming,1,ANDY,ANDY,4,0.519,0,0.519,2.95578231293,237.846,287.60,0.137,141.85,0.416,270.814,266.130,212.950,160.753,68.552,81.238
A1A7KL0CEERE60,22,ItemBilly,Patient,Kiss,ISBILLYKISSINGLAURIE,no,ListD,VersionC,nonrhyming,1,sp,sp,0,1.157,0,1.157,3.4746031746,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,42.248,46.772
A1A7KL0CEERE60,6,ItemSandy,YesControl,Pull,ISSANDYPULLINGTORI,yes,ListD,VersionC,nonrhyming,1,sp,sp,1,0.938,0,0.938,0.0124716553288,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,41.051,43.628
A1A7KL0CEERE60,6,ItemSandy,YesControl,Pull,ISSANDYPULLINGTORI,yes,ListD,VersionC,nonrhyming,1,YES,YES,3,0.379,0,0.379,0.950340136054,232.305,308.51,0.073,166.93,0.250,305.012,256.630,179.418,184.336,69.836,82.277
A1A7KL0CEERE60,6,ItemSandy,YesControl,Pull,ISSANDYPULLINGTORI,yes,ListD,VersionC,nonrhyming,1,sp,sp,1,0.519,0,0.519,1.32947845805,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,49.217,60.865
A1A7KL0CEERE60,6,ItemSandy,YesControl,Pull,ISSANDYPULLINGTORI,yes,ListD,VersionC,nonrhyming,1,SANDY,SANDY,5,0.559,0,0.559,1.84829931973,223.507,276.36,0.542,189.55,0.145,200.683,193.173,228.798,262.006,72.828,81.758
A1A7KL0CEERE60,6,ItemSandy,YesControl,Pull,ISSANDYPULLINGTORI,yes,ListD,VersionC,nonrhyming,1,IS,IS,2,0.070,0,0.070,2.40702947846,250.811,264.16,0,236.78,0.044,258.668,251.818,239.503,--undefined--,66.012,73.188
A1A7KL0CEERE60,6,ItemSandy,YesControl,Pull,ISSANDYPULLINGTORI,yes,ListD,VersionC,nonrhyming,1,sp,sp,1,0.070,0,0.070,2.4768707483,258.771,262.90,0.020,255.26,0.044,261.639,259.981,255.443,--undefined--,54.823,60.762
A1A7KL0CEERE60,6,ItemSandy,YesControl,Pull,ISSANDYPULLINGTORI,yes,ListD,VersionC,nonrhyming,1,PULLING,PULLING,5,0.459,0,0.459,2.54671201814,217.804,259.31,0.415,195.46,0.233,218.467,205.579,206.386,241.354,69.030,81.103
A1A7KL0CEERE60,6,ItemSandy,YesControl,Pull,ISSANDYPULLINGTORI,yes,ListD,VersionC,nonrhyming,1,TORI,TORI,4,0.509,0,0.509,3.00566893424,202.665,286.09,0.050,148.63,0.463,264.218,220.134,170.336,155.972,68.885,80.663
A1A7KL0CEERE60,6,ItemSandy,YesControl,Pull,ISSANDYPULLINGTORI,yes,ListD,VersionC,nonrhyming,1,sp,sp,0,1.676,0,1.676,3.51451247166,184.852,188.38,0.036,181.98,0.017,184.852,--undefined--,--undefined--,--undefined--,42.326,60.969
A1A7KL0CEERE60,7,ItemBonnie,Patient,Kick,ISBONNIEKICKINGANDY,no,ListD,VersionC,nonrhyming,1,sp,sp,1,0.708,0,0.708,0.0124716553288,221.667,221.67,0.708,221.67,0.708,--undefined--,--undefined--,--undefined--,221.667,41.783,53.141
A1A7KL0CEERE60,7,ItemBonnie,Patient,Kick,ISBONNIEKICKINGANDY,no,ListD,VersionC,nonrhyming,1,NO,NO,2,0.469,0,0.469,0.720861678005,225.219,293.96,0.406,183.08,0.168,204.507,184.441,223.733,288.195,73.544,78.426
A1A7KL0CEERE60,7,ItemBonnie,Patient,Kick,ISBONNIEKICKINGANDY,no,ListD,VersionC,nonrhyming,1,sp,sp,1,0.319,0,0.319,1.18979591837,295.605,298.71,0.034,283.37,0,295.605,--undefined--,--undefined--,--undefined--,45.221,53.338
A1A7KL0CEERE60,7,ItemBonnie,Patient,Kick,ISBONNIEKICKINGANDY,no,ListD,VersionC,nonrhyming,1,BONNIE,BONNIE,4,0.529,0,0.529,1.50907029478,190.295,297.99,0.471,135.06,0.490,173.882,162.592,193.145,226.588,70.626,78.580
A1A7KL0CEERE60,7,ItemBonnie,Patient,Kick,ISBONNIEKICKINGANDY,no,ListD,VersionC,nonrhyming,1,IS,IS,2,0.200,0,0.200,2.03786848073,224.510,234.29,0.033,207.98,0.076,230.276,215.338,--undefined--,--undefined--,64.215,78.422
A1A7KL0CEERE60,7,ItemBonnie,Patient,Kick,ISBONNIEKICKINGANDY,no,ListD,VersionC,nonrhyming,1,KICKING,KICKING,5,0.319,0,0.319,2.23741496599,206.160,221.34,0.245,196.36,0.128,210.847,203.431,207.081,208.166,64.482,82.299
A1A7KL0CEERE60,7,ItemBonnie,Patient,Kick,ISBONNIEKICKINGANDY,no,ListD,VersionC,nonrhyming,1,sp,sp,1,0.080,0,0.080,2.5566893424,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,44.344,45.168
A1A7KL0CEERE60,7,ItemBonnie,Patient,Kick,ISBONNIEKICKINGANDY,no,ListD,VersionC,nonrhyming,1,LAURIE,LAURIE,4,0.439,0,0.439,2.63650793651,212.671,258.97,0.182,143.70,0.298,205.315,247.597,179.251,210.659,67.954,78.348
A1A7KL0CEERE60,7,ItemBonnie,Patient,Kick,ISBONNIEKICKINGANDY,no,ListD,VersionC,nonrhyming,1,sp,sp,0,1.377,0,1.377,3.07551020408,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,43.346,54.862
